Entry	Gene names	Organism	Gene ontology IDs
G0EGF2	Pyrfu_1318	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003677; GO:0003700; GO:0006352; GO:0016987
Q8TVL9	thyA MK1370	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0004799; GO:0005737; GO:0006235
Q8U0E7	rps9 PF1644	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0003735; GO:0005840; GO:0006412
A2BKI9	Hbut_0643	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0043571
G0ECA7	Pyrfu_1620	Pyrolobus fumarii (strain DSM 11204 / 1A)	
Q9UZH0	PAB0786	Pyrococcus abyssi (strain GE5 / Orsay)	
I6TX88	PFC_05440	Pyrococcus furiosus COM1	GO:0016491; GO:0030151
Q9YDX1	APE_0798	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021
G0EH95	Pyrfu_1461	Pyrolobus fumarii (strain DSM 11204 / 1A)	
I6V2R6	PFC_07485	Pyrococcus furiosus COM1	GO:0016021; GO:0055085
Q8TWX0	carB1 carB_2 MK0911	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0004088; GO:0005524; GO:0006526; GO:0044205; GO:0046872
Q9UXX8	PYRAB17300 PAB1135	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003723
Q9YC10	mscS APE_1441.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0016021; GO:0055085
Q8TZB5	MK0020	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q9UYX3	pheS PYRAB13840 PAB2426	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0000049; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0046872
Q8TXP5	MK0615	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q9V082	hom PAB0610	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0004412; GO:0006520; GO:0050661
I6V205	PFC_05760	Pyrococcus furiosus COM1	
P58880	hisB PF1660	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	GO:0000105; GO:0004424; GO:0005737
I6U5L0	PFC_00695	Pyrococcus furiosus COM1	GO:0016021
Q9V078	PAB1753	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016021
A0A0U3RZK7	ADU37_CDS17510	Thermococcus sp. 2319x1	GO:0016021
I6UYP5	PFC_04130	Pyrococcus furiosus COM1	GO:0006520; GO:0036361
G0ECF6	rps4e Pyrfu_1670	Pyrolobus fumarii (strain DSM 11204 / 1A)	GO:0003723; GO:0003735; GO:0005840; GO:0006412
Q8U279	PF0960	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	
Q8TWK6	MK1027	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016829; GO:0051536
Q05E87	APE_0240a	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	
A2BKE4	Hbut_0596	Hyperthermus butylicus (strain DSM 5456 / JCM 9403 / PLM1-5)	GO:0008152; GO:0018784
Q9YFY3	thrS2 APE_0117.1	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)	GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0008270
Q8TXF4	cdhC MK0720	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0006084; GO:0018492; GO:0043884; GO:0046872; GO:0051536
Q9UY20	rps24e PYRAB16880 PAB3419	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003735; GO:0005840; GO:0006412
Q9UYY2	PAB0911	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0016740
Q8TV95	MK1497	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	
Q8TVW1	MK1277	Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938)	GO:0016021
Q9V2G6	PAB0066	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0003676; GO:0004813; GO:0005524; GO:0006419
Q9V0W5	PAB1920	Pyrococcus abyssi (strain GE5 / Orsay)	GO:0004252; GO:0016021
