Entry	Gene names	Organism	Gene ontology IDs
O67461	hup aq_1484.1 aq_1484A	Aquifex aeolicus (strain VF5)	GO:0003677; GO:0005829; GO:0030261; GO:1903506
Q59053	MJ1659	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	GO:0005524
A0A1M6SWF8	SAMN05444391_1194	Thermocrinis minervae	
W0DDF5	murA THERU_08020	Thermocrinis ruber	GO:0005737; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555
M1JB92	SacRon12I_03790	Sulfolobus acidocaldarius Ron12/I	GO:0016491
Q57912	MJ0488	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	
M1IZJ1	SacRon12I_08230	Sulfolobus acidocaldarius Ron12/I	GO:0016021; GO:0055085
E3GW82	Mfer_1052	Methanothermus fervidus (strain ATCC 43054 / DSM 2088 / JCM 10308 / V24 S)	
A0A1M6RZK0	map SAMN05444391_0823	Thermocrinis minervae	GO:0046872; GO:0070006; GO:0070084
W0DC19	THERU_04795	Thermocrinis ruber	
A0A1M6THC5	SAMN05444391_1461	Thermocrinis minervae	GO:0006051; GO:0047465
Q9WYP9	TM_0418	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	GO:0005215
W0DG62	THERU_03315	Thermocrinis ruber	GO:0008915; GO:0009245
O30039	AF_0200	Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126)	GO:0008152; GO:0016874
M1IYT3	SacRon12I_06960	Sulfolobus acidocaldarius Ron12/I	
M1IYS7	SacN8_11260	Sulfolobus acidocaldarius N8	GO:0003824; GO:0030976
A0A1M6T416	rpoZ SAMN05444391_1292	Thermocrinis minervae	GO:0003677; GO:0003899; GO:0006351
W0DGJ3	THERU_04165	Thermocrinis ruber	GO:0016628
O67795	tolQ aq_1988	Aquifex aeolicus (strain VF5)	GO:0005887; GO:0008565; GO:0017038
